frame_id,timestamp_sec,class,x1,y1,x2,y2,confidence
1,0.0,car,1636,776,1760,872,0.76
1,0.0,car,1604,696,1713,773,0.5332
2,0.033,car,1640,772,1760,868,0.7284
2,0.033,person,1300,850,1356,958,0.5622
2,0.033,car,1605,694,1714,769,0.5471
3,0.067,car,1642,767,1762,862,0.7176
4,0.1,car,1644,764,1762,857,0.7263
4,0.1,car,1614,688,1717,760,0.6698
5,0.133,car,1617,686,1718,758,0.7335
5,0.133,car,1648,756,1763,855,0.7255
5,0.133,person,1640,898,1704,1013,0.5122
6,0.167,car,1621,685,1722,756,0.6953
6,0.167,car,1650,754,1766,847,0.6694
7,0.2,car,1625,683,1726,754,0.6915
7,0.2,car,1652,752,1766,842,0.6831
7,0.2,person,1336,826,1388,939,0.601
7,0.2,person,1649,888,1710,1008,0.519
7,0.2,person,1741,640,1774,700,0.5116
8,0.233,car,1654,741,1770,836,0.746
8,0.233,car,1629,681,1731,748,0.7009
9,0.267,car,1657,742,1769,832,0.7047
9,0.267,car,1632,678,1725,744,0.5916
10,0.3,car,1660,737,1770,827,0.7263
10,0.3,car,1634,675,1725,741,0.5769
11,0.333,car,1661,735,1768,823,0.7125
11,0.333,car,1638,673,1719,741,0.5199
12,0.367,car,1641,672,1737,738,0.6823
12,0.367,person,1671,848,1723,960,0.5227
13,0.4,car,1645,666,1740,736,0.7722
13,0.4,person,1673,845,1724,957,0.5401
14,0.433,car,1648,664,1740,734,0.7574
15,0.467,car,1651,664,1733,732,0.7029
16,0.5,car,1653,663,1736,731,0.7156
17,0.533,car,1655,662,1744,727,0.7381
18,0.567,car,1659,662,1739,725,0.6688
18,0.567,person,1401,776,1448,878,0.528
19,0.6,car,1660,659,1738,721,0.5518
20,0.633,motorcycle,1692,807,1741,910,0.6282
25,0.8,motorcycle,1701,787,1750,879,0.5144
26,0.833,motorcycle,1230,793,1286,886,0.5022
27,0.867,car,1685,686,1775,762,0.5086
28,0.9,car,1686,685,1776,759,0.6336
31,1.0,motorcycle,1260,770,1316,861,0.6148
34,1.1,motorcycle,1278,755,1327,847,0.6763
35,1.133,motorcycle,1284,754,1335,844,0.6467
41,1.333,motorcycle,1311,732,1362,816,0.691
41,1.333,car,1696,655,1777,722,0.5073
42,1.367,motorcycle,1724,723,1765,794,0.5049
43,1.4,motorcycle,1322,729,1373,809,0.6734
43,1.4,car,1697,653,1776,717,0.6009
44,1.433,motorcycle,1327,723,1374,804,0.7064
44,1.433,car,1698,652,1778,714,0.5652
45,1.467,motorcycle,1332,721,1379,800,0.6103
45,1.467,car,1700,651,1778,712,0.5509
46,1.5,motorcycle,1335,718,1384,799,0.7073
47,1.533,motorcycle,1339,713,1384,794,0.5422
48,1.567,car,1700,643,1779,708,0.5191
49,1.6,motorcycle,1349,719,1395,785,0.5409
50,1.633,motorcycle,1352,706,1397,781,0.6203
50,1.633,motorcycle,1730,699,1766,762,0.5104
51,1.667,motorcycle,1359,724,1400,780,0.6619
51,1.667,car,1703,634,1778,698,0.5446
51,1.667,motorcycle,1357,703,1400,779,0.5119
52,1.7,car,1703,633,1778,696,0.7071
52,1.7,motorcycle,1360,699,1404,775,0.6265
53,1.733,car,1706,633,1780,694,0.5617
58,1.9,motorcycle,1552,652,1588,722,0.5024
59,1.933,motorcycle,1385,681,1430,753,0.6598
59,1.933,motorcycle,223,936,361,1062,0.5777
60,1.967,motorcycle,1390,677,1433,749,0.6893
60,1.967,motorcycle,246,932,379,1052,0.6349
62,2.033,motorcycle,291,919,419,1038,0.5129
62,2.033,motorcycle,1399,675,1440,744,0.5112
63,2.067,motorcycle,309,905,438,1027,0.5119
64,2.1,car,1710,614,1774,670,0.5267
65,2.133,car,1711,611,1777,667,0.605
66,2.167,car,1709,611,1775,664,0.7203
70,2.3,car,1711,607,1775,661,0.5149
71,2.333,motorcycle,1428,653,1465,717,0.5625
71,2.333,car,1711,604,1774,659,0.5347
73,2.4,motorcycle,497,843,607,960,0.5464
73,2.4,car,1709,598,1774,653,0.5054
74,2.433,car,1711,596,1771,650,0.5851
76,2.5,car,1712,598,1772,647,0.5323
76,2.5,motorcycle,546,838,648,943,0.5046
77,2.533,person,998,1019,1083,1080,0.6205
78,2.567,person,1279,776,1329,877,0.547
78,2.567,car,1714,594,1771,642,0.5188
79,2.6,person,1289,769,1332,867,0.6303
82,2.7,motorcycle,1456,634,1492,691,0.6046
83,2.733,motorcycle,1460,630,1493,690,0.5555
84,2.767,car,1759,557,1810,602,0.5264
85,2.8,car,593,1011,893,1077,0.6812
85,2.8,car,1761,554,1809,599,0.5572
86,2.833,car,615,994,919,1077,0.6164
86,2.833,person,1344,733,1387,822,0.5328
86,2.833,car,1718,585,1770,632,0.5001
87,2.867,car,637,977,953,1078,0.7495
88,2.9,car,664,961,979,1077,0.7906
88,2.9,motorcycle,1360,751,1397,812,0.6304
88,2.9,car,1764,554,1810,597,0.5523
88,2.9,car,1720,580,1769,626,0.5411
89,2.933,car,698,944,1002,1078,0.8621
90,2.967,car,731,931,1020,1078,0.8963
91,3.0,car,759,916,1042,1077,0.8759
91,3.0,car,1718,577,1769,620,0.5363
91,3.0,person,249,987,315,1079,0.5345
91,3.0,person,1625,588,1649,647,0.5066
92,3.033,car,787,903,1060,1078,0.9211
92,3.033,person,1383,707,1422,790,0.6461
92,3.033,motorcycle,768,764,840,857,0.5194
93,3.067,car,814,891,1075,1072,0.9012
93,3.067,motorcycle,1478,608,1514,669,0.5568
94,3.1,car,840,879,1095,1054,0.7424
94,3.1,person,1196,877,1257,983,0.5735
94,3.1,motorcycle,1480,608,1515,668,0.5418
95,3.133,car,864,869,1111,1040,0.8954
95,3.133,motorcycle,802,759,868,844,0.6152
95,3.133,person,1201,872,1265,960,0.5229
96,3.167,car,887,858,1125,1027,0.6412
96,3.167,car,1717,574,1766,614,0.5036
97,3.2,car,909,846,1140,1009,0.911
98,3.233,car,930,838,1155,996,0.9083
98,3.233,person,1223,853,1284,951,0.6186
99,3.267,car,951,828,1166,982,0.8706
100,3.3,car,971,819,1181,971,0.8623
100,3.3,motorcycle,431,962,551,1061,0.5939
101,3.333,car,987,810,1193,957,0.8918
102,3.367,car,1005,803,1206,945,0.8889
102,3.367,car,1395,1015,1591,1078,0.6411
102,3.367,motorcycle,1435,672,1471,744,0.5923
103,3.4,car,1024,794,1217,933,0.8665
103,3.4,motorcycle,489,937,601,1041,0.5692
103,3.4,car,1396,998,1594,1078,0.513
104,3.433,car,1038,787,1230,924,0.8918
104,3.433,car,1400,991,1601,1079,0.6689
105,3.467,car,1055,777,1240,910,0.8862
105,3.467,car,1403,980,1605,1077,0.7234
106,3.5,car,1069,771,1249,903,0.8512
106,3.5,car,1408,968,1610,1078,0.754
107,3.533,car,1084,766,1260,892,0.8647
